,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
2059,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.767,0.026,0.026
2060,0.667,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.142,0.024
2061,0.018,0.018,0.018,0.084,0.018,0.713,0.078,0.018,0.018,0.018
2062,0.023,0.023,0.023,0.796,0.023,0.023,0.023,0.023,0.023,0.023
2063,0.382,0.300,0.178,0.020,0.020,0.020,0.020,0.020,0.020,0.020
2064,0.030,0.030,0.030,0.733,0.030,0.030,0.030,0.030,0.030,0.030
2065,0.017,0.017,0.017,0.017,0.849,0.017,0.017,0.017,0.017,0.017
2066,0.601,0.020,0.242,0.020,0.020,0.020,0.020,0.020,0.020,0.020
2067,0.809,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
2068,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.762
2069,0.024,0.024,0.524,0.024,0.286,0.024,0.024,0.024,0.024,0.024
2070,0.022,0.022,0.022,0.022,0.022,0.362,0.022,0.022,0.022,0.464
2071,0.022,0.022,0.022,0.798,0.022,0.022,0.022,0.022,0.022,0.022
2072,0.027,0.027,0.027,0.027,0.027,0.027,0.758,0.027,0.027,0.027
2073,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.712
2074,0.027,0.027,0.027,0.027,0.027,0.027,0.756,0.027,0.027,0.027
2075,0.023,0.023,0.023,0.023,0.789,0.023,0.023,0.023,0.023,0.023
2076,0.031,0.031,0.719,0.031,0.031,0.031,0.031,0.031,0.031,0.031
2077,0.028,0.028,0.751,0.028,0.028,0.028,0.028,0.028,0.028,0.028
2078,0.445,0.025,0.025,0.025,0.025,0.025,0.351,0.025,0.025,0.025
2079,0.242,0.026,0.025,0.555,0.025,0.025,0.025,0.025,0.025,0.025
2080,0.735,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
2081,0.024,0.024,0.650,0.024,0.024,0.024,0.162,0.024,0.024,0.024
2082,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.153,0.638
2083,0.030,0.733,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
2084,0.024,0.024,0.024,0.024,0.024,0.787,0.024,0.024,0.024,0.024
