,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
11738,0.023,0.023,0.406,0.023,0.023,0.023,0.023,0.412,0.023,0.023
11739,0.025,0.025,0.025,0.025,0.505,0.295,0.025,0.025,0.025,0.025
11740,0.023,0.023,0.023,0.023,0.795,0.023,0.023,0.023,0.023,0.023
11741,0.024,0.024,0.024,0.024,0.024,0.783,0.024,0.024,0.024,0.024
11742,0.025,0.025,0.025,0.025,0.025,0.025,0.774,0.025,0.025,0.025
11743,0.730,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
11744,0.022,0.022,0.022,0.022,0.022,0.546,0.022,0.022,0.277,0.022
11745,0.024,0.308,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.500
11746,0.483,0.018,0.018,0.018,0.375,0.018,0.018,0.018,0.018,0.018
11747,0.024,0.024,0.024,0.504,0.024,0.024,0.024,0.024,0.166,0.163
11748,0.025,0.025,0.025,0.363,0.025,0.440,0.025,0.025,0.025,0.025
11749,0.017,0.194,0.391,0.017,0.017,0.017,0.017,0.114,0.017,0.196
11750,0.021,0.152,0.405,0.298,0.021,0.021,0.021,0.021,0.021,0.021
11751,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.731
11752,0.762,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
11753,0.026,0.469,0.026,0.026,0.026,0.026,0.026,0.026,0.324,0.026
11754,0.810,0.016,0.016,0.016,0.064,0.016,0.016,0.016,0.016,0.016
11755,0.548,0.028,0.226,0.028,0.028,0.028,0.028,0.028,0.028,0.028
11756,0.192,0.021,0.449,0.021,0.021,0.209,0.021,0.021,0.021,0.021
11757,0.025,0.025,0.025,0.663,0.025,0.135,0.025,0.025,0.025,0.025
11758,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
11759,0.025,0.025,0.025,0.025,0.025,0.025,0.347,0.025,0.455,0.025
11760,0.027,0.027,0.027,0.027,0.758,0.027,0.027,0.027,0.027,0.027
11761,0.020,0.020,0.020,0.293,0.020,0.156,0.020,0.020,0.020,0.412
11762,0.027,0.027,0.592,0.027,0.027,0.027,0.027,0.027,0.194,0.027
11763,0.027,0.027,0.758,0.027,0.027,0.027,0.027,0.027,0.027,0.027
11764,0.700,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.108,0.024
11765,0.027,0.027,0.027,0.027,0.027,0.027,0.761,0.027,0.027,0.027
11766,0.026,0.026,0.473,0.026,0.026,0.320,0.026,0.026,0.026,0.026
11767,0.025,0.025,0.025,0.025,0.025,0.774,0.025,0.025,0.025,0.025
11768,0.028,0.744,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
11769,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.744,0.028
11770,0.028,0.028,0.028,0.028,0.028,0.028,0.752,0.028,0.028,0.028
11771,0.026,0.026,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026
11772,0.022,0.022,0.800,0.022,0.022,0.022,0.022,0.022,0.022,0.022
11773,0.018,0.018,0.018,0.018,0.651,0.018,0.018,0.018,0.018,0.207
11774,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.621,0.042
11775,0.030,0.030,0.030,0.030,0.030,0.030,0.733,0.030,0.030,0.030
11776,0.026,0.649,0.026,0.026,0.026,0.140,0.026,0.026,0.026,0.026
11777,0.739,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.114,0.018
11778,0.024,0.024,0.024,0.024,0.780,0.024,0.024,0.024,0.024,0.024
11779,0.417,0.374,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
11780,0.579,0.205,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
11781,0.026,0.026,0.026,0.766,0.026,0.026,0.026,0.026,0.026,0.026
11782,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.714,0.032
11783,0.021,0.021,0.021,0.021,0.367,0.021,0.021,0.468,0.021,0.021
11784,0.031,0.442,0.031,0.031,0.031,0.031,0.031,0.031,0.306,0.031
11785,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.748
11786,0.615,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.066,0.211
11787,0.473,0.032,0.032,0.032,0.032,0.271,0.032,0.032,0.032,0.032
11788,0.030,0.030,0.030,0.446,0.030,0.030,0.030,0.314,0.030,0.030
11789,0.027,0.027,0.754,0.027,0.027,0.027,0.027,0.027,0.027,0.027
11790,0.025,0.025,0.025,0.025,0.771,0.025,0.025,0.025,0.025,0.025
11791,0.018,0.018,0.530,0.018,0.018,0.327,0.018,0.018,0.018,0.018
11792,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.721
11793,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.623,0.042
11794,0.815,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
11795,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.764
11796,0.026,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026
11797,0.028,0.028,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028
11798,0.762,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
11799,0.797,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
11800,0.025,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025,0.025
11801,0.021,0.021,0.021,0.021,0.270,0.021,0.021,0.021,0.563,0.021
11802,0.026,0.670,0.026,0.026,0.026,0.126,0.026,0.026,0.026,0.026
11803,0.023,0.023,0.502,0.315,0.023,0.023,0.023,0.023,0.023,0.023
11804,0.025,0.025,0.025,0.771,0.025,0.025,0.025,0.025,0.025,0.025
11805,0.837,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
11806,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.786
11807,0.023,0.023,0.023,0.023,0.023,0.789,0.023,0.023,0.023,0.023
11808,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.802,0.022,0.022
11809,0.784,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
11810,0.229,0.021,0.021,0.117,0.021,0.021,0.507,0.021,0.021,0.021
11811,0.538,0.015,0.283,0.015,0.015,0.058,0.033,0.015,0.015,0.015
11812,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.184,0.656
11813,0.024,0.024,0.024,0.024,0.024,0.024,0.781,0.024,0.024,0.024
11814,0.021,0.157,0.352,0.021,0.021,0.346,0.021,0.021,0.021,0.021
11815,0.031,0.031,0.718,0.031,0.031,0.031,0.031,0.031,0.031,0.031
11816,0.768,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
11817,0.022,0.022,0.639,0.022,0.022,0.022,0.022,0.184,0.022,0.022
11818,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
11819,0.035,0.035,0.035,0.035,0.687,0.035,0.035,0.035,0.035,0.035
11820,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.831,0.019
11821,0.018,0.018,0.018,0.018,0.123,0.018,0.018,0.074,0.160,0.533
11822,0.019,0.019,0.019,0.201,0.649,0.019,0.019,0.019,0.019,0.019
11823,0.024,0.024,0.024,0.024,0.024,0.024,0.785,0.024,0.024,0.024
11824,0.021,0.021,0.021,0.021,0.810,0.021,0.021,0.021,0.021,0.021
11825,0.024,0.024,0.024,0.783,0.024,0.024,0.024,0.024,0.024,0.024
11826,0.025,0.025,0.025,0.025,0.025,0.025,0.771,0.025,0.025,0.025
11827,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758
11828,0.023,0.023,0.023,0.792,0.023,0.023,0.023,0.023,0.023,0.023
11829,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.761
11830,0.022,0.139,0.449,0.022,0.022,0.022,0.022,0.022,0.022,0.255
11831,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.661,0.038
11832,0.302,0.440,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
11833,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.699,0.033,0.033
11834,0.783,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
11835,0.021,0.021,0.116,0.279,0.021,0.021,0.455,0.021,0.021,0.021
11836,0.025,0.025,0.629,0.025,0.174,0.025,0.025,0.025,0.025,0.025
11837,0.028,0.028,0.028,0.749,0.028,0.028,0.028,0.028,0.028,0.028
11838,0.304,0.021,0.021,0.021,0.146,0.021,0.402,0.021,0.021,0.021
11839,0.026,0.151,0.026,0.434,0.234,0.026,0.026,0.026,0.026,0.026
11840,0.016,0.016,0.554,0.016,0.016,0.321,0.016,0.016,0.016,0.016
11841,0.027,0.027,0.312,0.027,0.027,0.027,0.027,0.027,0.027,0.472
11842,0.733,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
11843,0.024,0.508,0.024,0.024,0.024,0.024,0.296,0.024,0.024,0.025
11844,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025
11845,0.021,0.134,0.373,0.021,0.021,0.021,0.021,0.343,0.021,0.021
11846,0.019,0.019,0.019,0.019,0.019,0.019,0.826,0.019,0.019,0.019
11847,0.023,0.023,0.023,0.023,0.023,0.023,0.792,0.023,0.023,0.023
11848,0.031,0.031,0.719,0.031,0.031,0.031,0.031,0.031,0.031,0.031
11849,0.021,0.021,0.021,0.021,0.170,0.021,0.021,0.021,0.021,0.663
11850,0.028,0.028,0.609,0.028,0.168,0.028,0.028,0.028,0.028,0.028
11851,0.022,0.022,0.110,0.544,0.022,0.022,0.022,0.022,0.022,0.194
11852,0.030,0.030,0.030,0.348,0.030,0.030,0.030,0.030,0.030,0.414
11853,0.029,0.029,0.029,0.029,0.736,0.029,0.029,0.029,0.029,0.029
11854,0.323,0.024,0.024,0.299,0.024,0.024,0.024,0.024,0.024,0.213
11855,0.023,0.024,0.023,0.789,0.023,0.023,0.023,0.023,0.023,0.023
11856,0.025,0.025,0.025,0.025,0.455,0.025,0.025,0.348,0.025,0.025
11857,0.029,0.029,0.029,0.029,0.029,0.218,0.554,0.029,0.029,0.029
11858,0.034,0.034,0.467,0.261,0.034,0.034,0.034,0.034,0.034,0.034
11859,0.031,0.031,0.527,0.225,0.031,0.031,0.031,0.031,0.031,0.031
11860,0.650,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.160
11861,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.781,0.024,0.024
11862,0.028,0.028,0.028,0.493,0.283,0.028,0.028,0.028,0.028,0.028
11863,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.761,0.027
11864,0.023,0.023,0.145,0.421,0.023,0.023,0.023,0.023,0.273,0.023
11865,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.750,0.028,0.028
11866,0.023,0.023,0.359,0.023,0.023,0.023,0.023,0.023,0.023,0.456
11867,0.821,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
11868,0.029,0.029,0.029,0.553,0.029,0.213,0.029,0.029,0.029,0.029
11869,0.025,0.025,0.025,0.773,0.025,0.025,0.025,0.025,0.025,0.025
11870,0.034,0.034,0.034,0.697,0.034,0.034,0.034,0.034,0.034,0.034
11871,0.025,0.025,0.025,0.025,0.025,0.025,0.774,0.025,0.025,0.025
11872,0.030,0.030,0.734,0.030,0.030,0.030,0.030,0.030,0.030,0.030
11873,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.569,0.239
11874,0.030,0.029,0.029,0.029,0.029,0.029,0.030,0.029,0.029,0.735
11875,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.522,0.025,0.281
11876,0.021,0.021,0.021,0.021,0.021,0.021,0.810,0.021,0.021,0.021
11877,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.777
11878,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.765
11879,0.034,0.034,0.034,0.034,0.034,0.698,0.034,0.034,0.034,0.034
11880,0.025,0.025,0.025,0.025,0.349,0.451,0.025,0.025,0.025,0.025
11881,0.771,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
11882,0.026,0.026,0.026,0.766,0.026,0.026,0.026,0.026,0.026,0.026
11883,0.022,0.022,0.022,0.022,0.022,0.803,0.022,0.022,0.022,0.022
11884,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025,0.025,0.025
11885,0.028,0.028,0.028,0.028,0.028,0.028,0.289,0.028,0.028,0.485
11886,0.023,0.023,0.023,0.674,0.023,0.023,0.023,0.023,0.141,0.023
11887,0.022,0.022,0.022,0.022,0.798,0.022,0.022,0.022,0.022,0.022
11888,0.766,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
11889,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.779,0.025
11890,0.598,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.154
11891,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.786,0.024
11892,0.022,0.342,0.480,0.022,0.022,0.022,0.022,0.022,0.022,0.022
11893,0.016,0.134,0.016,0.016,0.538,0.016,0.215,0.016,0.016,0.016
11894,0.024,0.024,0.024,0.024,0.024,0.786,0.024,0.024,0.024,0.024
11895,0.029,0.029,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029
11896,0.773,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
11897,0.023,0.023,0.023,0.023,0.529,0.287,0.023,0.023,0.023,0.023
11898,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028,0.028
11899,0.028,0.028,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028
11900,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.780,0.024,0.024
11901,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.756,0.027
11902,0.517,0.254,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.091
11903,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.834
11904,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.765,0.026
11905,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.660,0.038,0.038
11906,0.030,0.030,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030
11907,0.020,0.020,0.818,0.020,0.020,0.020,0.020,0.020,0.020,0.020
11908,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.336,0.025,0.467
11909,0.682,0.024,0.024,0.024,0.128,0.024,0.024,0.024,0.024,0.024
11910,0.027,0.027,0.027,0.137,0.483,0.027,0.027,0.027,0.027,0.191
11911,0.027,0.027,0.304,0.027,0.166,0.344,0.027,0.027,0.027,0.027
11912,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.821,0.020
11913,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.772,0.025,0.025
11914,0.027,0.027,0.027,0.451,0.027,0.335,0.027,0.027,0.027,0.027
11915,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.328,0.019,0.524
11916,0.029,0.029,0.029,0.029,0.029,0.029,0.736,0.029,0.029,0.029
11917,0.395,0.026,0.026,0.026,0.234,0.026,0.026,0.026,0.026,0.186
11918,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026
11919,0.028,0.028,0.028,0.028,0.748,0.028,0.028,0.028,0.028,0.028
11920,0.025,0.025,0.395,0.025,0.025,0.025,0.025,0.025,0.025,0.408
11921,0.425,0.026,0.026,0.257,0.026,0.138,0.026,0.026,0.026,0.026
11922,0.549,0.024,0.024,0.119,0.024,0.024,0.024,0.024,0.024,0.164
11923,0.024,0.024,0.024,0.024,0.024,0.780,0.024,0.024,0.024,0.024
11924,0.025,0.025,0.025,0.661,0.025,0.025,0.025,0.025,0.025,0.136
11925,0.029,0.029,0.460,0.170,0.029,0.029,0.167,0.029,0.029,0.029
11926,0.024,0.133,0.024,0.256,0.024,0.024,0.444,0.024,0.024,0.024
11927,0.023,0.023,0.023,0.394,0.023,0.023,0.424,0.023,0.023,0.023
11928,0.160,0.027,0.027,0.627,0.027,0.027,0.027,0.027,0.027,0.027
11929,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.794
11930,0.019,0.019,0.019,0.019,0.308,0.019,0.019,0.079,0.019,0.479
11931,0.021,0.180,0.021,0.021,0.021,0.245,0.343,0.106,0.021,0.021
11932,0.026,0.026,0.026,0.517,0.026,0.026,0.026,0.271,0.026,0.026
11933,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.690
11934,0.025,0.166,0.264,0.398,0.025,0.025,0.025,0.025,0.025,0.025
11935,0.702,0.023,0.023,0.023,0.023,0.023,0.113,0.023,0.023,0.023
11936,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.772,0.025,0.025
11937,0.021,0.021,0.021,0.343,0.021,0.021,0.487,0.021,0.021,0.021
11938,0.398,0.024,0.024,0.411,0.024,0.024,0.024,0.024,0.024,0.024
11939,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.785
11940,0.270,0.024,0.024,0.024,0.024,0.024,0.322,0.024,0.242,0.024
11941,0.856,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
11942,0.111,0.021,0.021,0.021,0.131,0.021,0.021,0.099,0.021,0.534
11943,0.025,0.771,0.025,0.025,0.026,0.025,0.025,0.025,0.025,0.025
11944,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.798
11945,0.023,0.023,0.023,0.023,0.023,0.790,0.023,0.023,0.023,0.023
11946,0.023,0.023,0.023,0.023,0.023,0.023,0.792,0.023,0.023,0.023
11947,0.023,0.023,0.394,0.023,0.023,0.023,0.023,0.023,0.425,0.023
11948,0.023,0.023,0.023,0.023,0.023,0.795,0.023,0.023,0.023,0.023
11949,0.030,0.030,0.030,0.030,0.030,0.030,0.734,0.030,0.030,0.030
11950,0.025,0.025,0.569,0.025,0.025,0.235,0.025,0.025,0.025,0.025
11951,0.770,0.015,0.015,0.015,0.112,0.015,0.015,0.015,0.015,0.015
11952,0.026,0.026,0.026,0.224,0.026,0.026,0.026,0.026,0.443,0.154
11953,0.023,0.023,0.792,0.023,0.023,0.023,0.023,0.023,0.023,0.023
11954,0.029,0.029,0.029,0.738,0.029,0.029,0.029,0.029,0.029,0.029
11955,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023
11956,0.024,0.024,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024
11957,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026
11958,0.026,0.261,0.533,0.026,0.026,0.026,0.026,0.026,0.026,0.026
11959,0.022,0.022,0.800,0.022,0.022,0.022,0.022,0.022,0.022,0.022
11960,0.533,0.021,0.021,0.021,0.021,0.302,0.021,0.021,0.021,0.021
11961,0.027,0.027,0.760,0.027,0.027,0.027,0.027,0.027,0.027,0.027
11962,0.037,0.037,0.037,0.668,0.037,0.037,0.037,0.037,0.037,0.037
11963,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.763,0.026,0.026
11964,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028
11965,0.023,0.023,0.406,0.023,0.023,0.023,0.023,0.412,0.023,0.023
11966,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025
11967,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026,0.026,0.026
11968,0.022,0.022,0.022,0.022,0.022,0.022,0.805,0.022,0.022,0.022
11969,0.026,0.200,0.026,0.594,0.026,0.026,0.026,0.026,0.026,0.026
11970,0.025,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025
11971,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025
11972,0.585,0.027,0.027,0.027,0.027,0.198,0.027,0.027,0.027,0.027
11973,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.736
11974,0.017,0.072,0.017,0.017,0.792,0.017,0.017,0.017,0.017,0.017
11975,0.022,0.321,0.022,0.022,0.022,0.499,0.022,0.022,0.022,0.022
11976,0.024,0.024,0.641,0.024,0.024,0.024,0.168,0.024,0.024,0.024
11977,0.442,0.027,0.345,0.027,0.027,0.027,0.027,0.027,0.027,0.027
11978,0.402,0.037,0.301,0.037,0.037,0.037,0.037,0.037,0.037,0.037
11979,0.025,0.025,0.025,0.518,0.025,0.025,0.025,0.025,0.025,0.278
11980,0.022,0.022,0.022,0.799,0.022,0.022,0.022,0.022,0.022,0.022
11981,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.139,0.670
11982,0.035,0.035,0.035,0.403,0.035,0.035,0.035,0.316,0.035,0.035
11983,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025,0.025,0.025
11984,0.029,0.029,0.029,0.029,0.029,0.029,0.413,0.029,0.029,0.351
11985,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.790,0.023,0.023
11986,0.025,0.025,0.025,0.025,0.772,0.025,0.025,0.025,0.025,0.025
11987,0.546,0.029,0.029,0.029,0.029,0.029,0.219,0.029,0.029,0.029
11988,0.377,0.031,0.031,0.371,0.031,0.031,0.031,0.031,0.031,0.031
11989,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.713,0.032
11990,0.023,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023
11991,0.697,0.022,0.022,0.022,0.022,0.022,0.124,0.022,0.022,0.022
11992,0.024,0.024,0.311,0.024,0.024,0.498,0.024,0.024,0.024,0.024
11993,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
11994,0.239,0.026,0.026,0.555,0.026,0.026,0.026,0.026,0.026,0.026
11995,0.032,0.032,0.710,0.032,0.032,0.032,0.032,0.032,0.032,0.032
11996,0.026,0.026,0.364,0.026,0.026,0.430,0.026,0.026,0.026,0.026
11997,0.022,0.022,0.629,0.022,0.022,0.113,0.022,0.022,0.022,0.106
11998,0.021,0.021,0.812,0.021,0.021,0.021,0.021,0.021,0.021,0.021
11999,0.023,0.023,0.023,0.023,0.023,0.205,0.610,0.023,0.023,0.023
12000,0.028,0.028,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028
12001,0.508,0.026,0.026,0.026,0.026,0.281,0.026,0.026,0.026,0.026
12002,0.019,0.019,0.019,0.019,0.830,0.019,0.019,0.019,0.019,0.019
12003,0.023,0.023,0.227,0.590,0.023,0.023,0.023,0.023,0.023,0.023
12004,0.022,0.022,0.446,0.022,0.022,0.022,0.022,0.022,0.376,0.022
12005,0.021,0.021,0.021,0.807,0.021,0.021,0.021,0.021,0.021,0.021
12006,0.025,0.025,0.025,0.025,0.025,0.025,0.774,0.025,0.025,0.025
12007,0.026,0.026,0.026,0.026,0.026,0.764,0.026,0.026,0.026,0.026
12008,0.027,0.027,0.754,0.027,0.027,0.027,0.027,0.027,0.027,0.027
12009,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026,0.026
12010,0.022,0.022,0.022,0.432,0.022,0.390,0.022,0.022,0.022,0.022
12011,0.023,0.023,0.393,0.426,0.023,0.023,0.023,0.023,0.023,0.023
12012,0.342,0.020,0.394,0.020,0.020,0.020,0.127,0.020,0.020,0.020
12013,0.027,0.027,0.027,0.156,0.027,0.027,0.631,0.027,0.027,0.027
12014,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.561,0.200
12015,0.431,0.017,0.017,0.430,0.017,0.017,0.017,0.017,0.017,0.017
12016,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.131,0.024,0.679
12017,0.024,0.024,0.024,0.788,0.024,0.024,0.024,0.024,0.024,0.024
12018,0.673,0.023,0.023,0.023,0.145,0.023,0.023,0.023,0.023,0.023
12019,0.620,0.194,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
12020,0.022,0.022,0.022,0.490,0.022,0.022,0.022,0.022,0.338,0.022
12021,0.018,0.018,0.232,0.018,0.194,0.018,0.018,0.018,0.018,0.449
12022,0.287,0.017,0.017,0.017,0.257,0.017,0.017,0.338,0.017,0.017
12023,0.022,0.022,0.022,0.022,0.434,0.022,0.022,0.022,0.022,0.393
12024,0.572,0.027,0.213,0.027,0.027,0.027,0.027,0.027,0.027,0.027
12025,0.025,0.025,0.025,0.025,0.025,0.025,0.779,0.025,0.025,0.025
12026,0.027,0.027,0.027,0.027,0.027,0.027,0.753,0.027,0.028,0.028
12027,0.656,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.196,0.019
12028,0.301,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.526,0.022
12029,0.032,0.716,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
12030,0.017,0.079,0.017,0.017,0.379,0.017,0.017,0.017,0.017,0.424
12031,0.027,0.027,0.204,0.584,0.027,0.027,0.027,0.027,0.027,0.027
12032,0.025,0.025,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025
12033,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026
12034,0.026,0.026,0.273,0.026,0.026,0.026,0.026,0.026,0.516,0.026
12035,0.029,0.029,0.029,0.029,0.736,0.029,0.029,0.029,0.029,0.029
12036,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.731
12037,0.023,0.461,0.023,0.023,0.023,0.023,0.023,0.358,0.023,0.023
12038,0.023,0.023,0.682,0.023,0.023,0.023,0.023,0.132,0.023,0.023
12039,0.027,0.757,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
12040,0.024,0.024,0.286,0.329,0.024,0.215,0.024,0.024,0.024,0.024
12041,0.023,0.023,0.794,0.023,0.023,0.023,0.023,0.023,0.023,0.023
12042,0.034,0.034,0.034,0.034,0.034,0.034,0.695,0.034,0.034,0.034
12043,0.298,0.023,0.521,0.023,0.023,0.023,0.023,0.023,0.023,0.023
12044,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.670,0.037
12045,0.550,0.179,0.020,0.020,0.020,0.020,0.020,0.020,0.129,0.020
12046,0.027,0.027,0.027,0.628,0.027,0.027,0.027,0.027,0.027,0.158
12047,0.022,0.022,0.022,0.799,0.022,0.022,0.022,0.022,0.022,0.022
12048,0.438,0.014,0.169,0.045,0.045,0.047,0.014,0.014,0.111,0.104
12049,0.020,0.020,0.020,0.362,0.479,0.020,0.020,0.020,0.020,0.020
12050,0.022,0.022,0.022,0.494,0.333,0.022,0.022,0.022,0.022,0.022
12051,0.615,0.020,0.020,0.020,0.020,0.020,0.224,0.020,0.020,0.020
12052,0.389,0.021,0.021,0.021,0.021,0.021,0.321,0.021,0.021,0.145
12053,0.023,0.023,0.796,0.023,0.023,0.023,0.023,0.023,0.023,0.023
12054,0.021,0.021,0.021,0.398,0.021,0.021,0.437,0.021,0.021,0.021
12055,0.024,0.024,0.787,0.024,0.024,0.024,0.024,0.024,0.024,0.024
12056,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.730,0.030,0.030
12057,0.343,0.456,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
12058,0.462,0.025,0.173,0.025,0.188,0.025,0.025,0.025,0.025,0.025
12059,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.284,0.022,0.542
12060,0.033,0.033,0.033,0.700,0.033,0.033,0.033,0.033,0.033,0.033
12061,0.032,0.032,0.269,0.217,0.032,0.032,0.032,0.204,0.120,0.032
